,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,49,20,0,1,1,1,0
1,21,20,0,1,1,1,1
2,80,20,0,1,0,0,0
3,66,20,0,1,0,0,0
4,11,0,1,8,1,1,2
5,30,20,0,1,1,1,1
6,57,20,0,1,1,0,0
7,0,3,0,2,1,1,2
8,0,44,0,4,2,1,1
9,0,10,0,5,2,0,2
10,5,0,1,5,1,3,0
11,5,0,1,11,1,1,2
12,80,20,0,1,1,0,0
13,0,3,0,1,3,0,1
14,80,20,0,1,0,0,0
15,78,20,0,1,1,0,0
16,0,16,0,6,3,1,0
17,20,80,1,1,0,0,0
18,0,66,0,4,1,1,2
19,80,0,1,4,2,1,1
20,7,0,1,1,1,1,2
21,35,20,0,1,1,1,0
22,20,80,1,1,0,0,0
23,30,0,1,9,1,1,2
24,69,20,0,1,0,0,0
25,80,20,0,1,0,0,0
26,20,80,1,1,0,0,0
27,13,0,1,11,2,1,1
28,51,20,0,1,1,1,0
29,36,20,0,1,1,1,1
30,0,13,0,6,3,1,0
31,80,20,0,1,0,0,0
32,0,5,0,8,1,2,1
33,0,2,0,8,2,0,2
34,79,20,0,1,1,0,0
35,43,20,0,1,2,0,0
36,31,20,0,1,1,1,1
37,20,79,1,1,0,0,0
38,72,0,1,7,1,1,2
39,24,20,0,1,1,1,0
40,80,20,0,1,0,0,0
41,17,20,0,1,2,1,0
42,0,63,0,3,1,2,1
43,64,0,1,12,1,1,2
44,80,20,0,1,0,0,0
45,25,0,1,4,2,1,1
46,0,7,0,6,1,1,2
47,20,69,1,1,1,0,0
48,80,0,1,8,2,1,1
49,0,51,0,4,1,3,0
50,0,56,0,1,1,1,2
51,47,20,0,1,1,0,0
52,0,47,0,9,1,3,0
53,33,20,0,1,1,2,0
54,80,20,0,1,0,0,0
55,80,20,0,1,1,0,0
56,17,0,1,6,1,1,2
57,0,2,0,13,1,1,2
58,0,15,0,3,2,1,1
59,0,15,0,8,2,2,0
60,0,38,0,10,1,2,1
61,80,0,1,4,1,1,2
62,0,26,0,6,2,1,1
63,80,0,1,4,2,0,2
64,0,60,0,2,1,2,1
65,22,20,0,1,1,1,1
66,14,0,1,4,2,1,1
67,0,5,0,5,3,1,0
68,28,20,0,1,1,1,1
69,0,7,0,12,3,1,0
70,16,20,0,1,1,2,0
71,80,20,0,1,0,0,0
72,0,28,0,10,1,1,2
73,80,0,1,3,1,1,2
74,8,0,1,7,2,1,1
75,79,20,0,1,0,0,0
76,62,20,0,1,0,0,0
77,56,20,0,1,2,0,0
78,57,20,0,1,1,0,0
79,78,0,1,6,1,2,1
80,0,2,0,10,2,2,0
81,58,0,1,5,1,1,2
82,0,4,0,5,1,2,1
83,0,14,0,1,2,0,2
84,0,16,0,4,2,0,2
85,0,27,0,8,1,2,1
86,80,20,0,1,0,0,0
87,19,0,1,14,3,0,1
88,22,20,0,1,1,1,1
89,0,5,0,3,1,1,2
90,0,3,0,7,2,1,1
91,78,0,1,8,2,1,1
92,80,20,0,1,0,0,0
93,0,23,0,5,1,1,2
94,20,80,1,1,0,0,0
95,20,75,1,1,0,0,0
96,50,20,0,1,1,1,0
97,45,20,0,1,1,1,0
98,3,0,1,12,4,0,0
99,61,20,0,1,1,0,0
100,0,4,0,5,3,0,1
101,62,20,0,1,0,0,0
102,32,0,1,5,1,1,2
103,79,0,1,7,1,1,2
104,38,0,1,6,3,1,0
105,4,20,0,1,2,1,1
106,73,20,0,1,0,0,0
107,20,8,1,1,1,2,0
108,52,20,0,1,1,1,0
109,80,0,1,6,2,1,1
110,20,80,1,1,0,0,0
111,20,80,1,1,0,0,0
112,75,20,0,1,1,0,0
113,20,80,1,1,0,0,0
114,69,20,0,1,1,0,0
115,0,69,0,3,2,2,0
116,51,0,1,1,1,2,1
117,78,20,0,1,1,0,0
118,0,38,0,2,2,2,0
119,0,8,0,8,2,1,1
120,0,41,0,13,1,1,2
121,80,20,0,1,0,0,0
122,80,20,0,1,1,0,0
123,0,49,0,1,2,1,1
124,18,0,1,8,1,1,2
125,78,20,0,1,0,0,0
126,41,0,1,3,2,1,1
127,43,20,0,1,1,1,0
128,0,18,0,4,1,2,1
129,3,0,1,8,1,1,2
130,12,0,1,11,1,1,2
131,4,20,0,1,1,1,1
132,55,0,1,7,2,1,1
133,20,80,1,1,0,0,0
134,20,76,1,1,0,0,0
135,0,44,0,2,2,1,1
136,0,9,0,6,1,2,1
137,80,20,0,1,0,0,0
138,80,20,0,1,0,0,0
139,0,2,0,8,1,1,2
140,80,20,0,1,0,0,0
141,20,20,0,1,1,1,1
142,0,10,0,10,1,2,1
143,0,18,0,8,2,1,1
144,0,25,0,2,1,1,2
145,0,53,0,4,1,1,2
146,72,20,0,1,0,0,0
147,26,20,0,1,1,1,1
148,80,20,0,1,0,0,0
149,58,20,0,1,1,0,0
150,48,0,1,1,1,2,1
151,67,20,0,1,1,0,0
152,41,20,0,1,2,0,0
153,20,80,1,1,0,0,0
154,0,20,0,11,1,1,2
155,25,20,0,1,1,1,1
156,67,20,0,1,0,0,0
157,80,20,0,1,0,0,0
158,0,40,0,6,1,3,0
159,0,13,0,3,2,2,0
160,0,43,0,2,1,2,1
161,0,2,0,5,1,2,1
162,15,20,0,1,2,0,1
163,0,22,0,4,2,0,2
164,44,20,0,1,1,1,0
165,42,20,0,1,1,1,0
166,20,56,1,1,0,0,0
167,21,0,1,5,2,0,2
168,80,20,0,1,0,0,0
169,80,20,0,1,0,0,0
170,80,20,0,1,0,0,0
171,67,0,1,3,1,2,1
172,0,46,0,3,2,1,1
173,0,44,0,1,1,2,1
174,36,20,0,1,1,1,0
175,55,20,0,1,1,0,0
176,80,20,0,1,0,0,0
177,61,20,0,1,0,0,0
178,6,0,1,14,1,1,2
179,57,20,0,1,0,0,0
180,20,79,1,1,0,0,0
181,24,0,1,9,2,0,2
182,20,67,1,1,1,0,0
183,10,20,0,1,2,2,0
184,0,16,0,5,3,0,1
185,20,80,1,1,0,0,0
186,0,34,0,3,1,3,0
187,80,0,1,6,1,1,2
188,80,0,1,6,2,0,2
189,9,20,0,1,1,1,1
190,80,20,0,1,0,0,0
191,20,80,1,1,0,0,0
192,10,0,1,4,1,2,1
193,0,29,0,2,1,2,1
194,80,20,0,1,0,0,0
195,0,3,0,5,2,1,0
196,0,67,0,3,1,1,2
197,70,20,0,1,0,0,0
198,33,20,0,1,1,1,0
199,20,71,1,1,1,0,0
